artist,country,date_recorded,download_link,file_type,gender,is_duet,language,location,no_of_comments,no_of_followers,no_of_following,no_of_likes,no_of_recordings,no_of_views,recording_id,recording_link,song_title,user_avatar,user_group,user_name,days
Celine Dion,USA,2016-12-15,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/acb963f2dc046f0b25d0331693fa6318_1.mp4,vid,woman,False,en,en,1,5,0, 2,2,11,950319,https://www.redkaraoke.com/profile/111ella/recordings/950319,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic2833863_1.gif,2,111ella,312
Celine Dion,Mexico,2011-05-30,https://s3.amazonaws.com/redkaraoke/data/mp3/11827/a18fe3baf53848501728b9379a9a6198_1.mp3,mp3,woman,False,es,en,4,0,0, 4,4,161,1071596,https://www.redkaraoke.com/profile/ennacastillo/recordings/1071596,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic653725_1.gif,2,ennacastillo,2338
Celine Dion,Spain,2016-11-07,https://s3.amazonaws.com/redkaraoke/data/mp3/11827/1c118a513d543736bc2fd22cc1f30ba9_1.mp3,mp3,man,False,es,en,2,587,7, 2,12673,17,2152317,https://www.redkaraoke.com/profile/LUVIBO/recordings/2152317,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic608162_1.gif,9,LUVIBO,350
Celine Dion,India,2016-08-14,https://s3.amazonaws.com/redkaraokecom/data/mp3/11827/defb755b7a8e572d688bc3dd7f163fdb_1.mp3,mp3,,False,en,en,0,8,9, 2,8,116,827490,https://www.redkaraoke.com/profile/anlcite/recordings/827490,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic6714736_2.gif,2,anlcite,435
Celine Dion,Germany,2016-11-07,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/3f0b3c9a443fb224f5ccf391a4653be9_1.mp4,vid,woman,False,en,en,0,14,0, 7,6,150,913537,https://www.redkaraoke.com/profile/reksane_1/recordings/913537,My heart will go on,https://d4rgvppl55fks.cloudfront.net/es/img3/mujerpequena.jpg,2,reksane_1,350
Celine Dion,Japan,2016-03-03,https://s3.amazonaws.com/redkaraokejp/data/mp3/11827/6fc845df36e883c3cf19af46a1d6b64b_1.mp3,mp3,man,False,jp,en,6,83,93, 7,4572,68,304084,https://www.redkaraoke.com/profile/namu_fukashigi/recordings/304084,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic521270_4.gif,9,namu_fukashigi,599
Celine Dion,India,2017-09-26,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/27ea26803028bacbb1e3b489417f8e3a_1.mp4,vid,,False,en,en,5,0,0, 5,1,132,1206169,https://www.redkaraoke.com/profile/Diva_36/recordings/1206169,My heart will go on,https://d4rgvppl55fks.cloudfront.net/es/img3/neutropequeno.jpg,2,Diva_36,27
Celine Dion,Slovenia,2016-06-07,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/b8c19ef0059e69b9fed75260a44ba357_1.mp4,vid,woman,False,en,en,1,258,3, 2,12,31,745170,https://www.redkaraoke.com/profile/TiaSudar/recordings/745170,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic6049195_6.gif,2,TiaSudar,503
Celine Dion,Japan,2016-11-16,https://s3.amazonaws.com/redkaraokejp/data/vid/11827/2c0f4d9f4030786c203daba11086453b_1.mp4,vid,man,False,jp,en,21,337,417, 22,862,336,319319,https://www.redkaraoke.com/profile/yasumiyo/recordings/319319,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic1188879_14.gif,9,yasumiyo,341
Celine Dion,Spain,2015-03-05,https://www.redkaraoke.com/data/vid/es/11827/55cdfe52bee18dd1945a37ff69b7a07d_1.mp4,vid,woman,False,es,en,17,154,10, 20,125,216,1761169,https://www.redkaraoke.com/profile/-Mey-/recordings/1761169,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic742572_7.gif,2,-Mey-,963
